Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
uv-protection-polarized-aviator-sunglasses-60,"UV Protection, Polarized Aviator Sunglasses (60)","UV Protection, Polarized Aviator Sunglasses (60)<br><a href=""https://www.flipkart.com/hashtag-eyewear-aviator-sunglasses/p/itm131b52f4128c4?pid=SGLHEX8FXN7CGYJ3&amp;lid=LSTSGLHEX8FXN7CGYJ3ZLGAPT&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_40&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHEX8FXN7CGYJ3.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Hashtag eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,97,deny,manual,12.00,2499.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/large-sewa-1380012av-gld-gry-hashtag-eyewear-original-imahex8fz5urhh7p.jpg?v=1758269454,1,"",false,,,,kg,,,active
gradient-retro-square-sunglasses-57,Gradient Retro Square Sunglasses (57),"Gradient Retro Square Sunglasses (57)<br><a href=""https://www.flipkart.com/new-balance-retro-square-sunglasses/p/itm43c0667716033?pid=SGLHBZQQX3EGQZZK&amp;lid=LSTSGLHBZQQX3EGQZZKHCTIXN&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_39&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHBZQQX3EGQZZK.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",New Balance,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3149.00,13175.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2gem9agjhk.jpg?v=1758269452,1,"",false,,,,kg,,,active
mirrored-aviator-sunglasses-57,Mirrored Aviator Sunglasses (57),"Mirrored Aviator Sunglasses (57)<br><a href=""https://www.flipkart.com/idee-aviator-sunglasses/p/itm3680ff8059019?pid=SGLGBSHJXHQNVZHY&amp;lid=LSTSGLGBSHJXHQNVZHYXS9QIU&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_36&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLGBSHJXHQNVZHY.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",IDEE,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2089.00,2980.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/medium-ids2726rc1sg-idee-original-imah3bghvzgavbgs.jpg?v=1758269451,1,"",false,,,,kg,,,active
polarized-aviator-sunglasses-62,Polarized Aviator Sunglasses (62),"Polarized Aviator Sunglasses (62)<br><a href=""https://www.flipkart.com/ray-ban-aviator-sunglasses/p/itmf3yh2dbbgnbgc?pid=SGLEWHYH8S4RSKMK&amp;lid=LSTSGLEWHYH8S4RSKMKF1ELBP&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_35&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLEWHYH8S4RSKMK.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Ray-Ban,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,9169.00,10190.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2gzr7geykh.jpg?v=1758269450,1,"",false,,,,kg,,,active
uv-protection-rectangular-sunglasses-54,UV Protection Rectangular Sunglasses (54),"UV Protection Rectangular Sunglasses (54)<br><a href=""https://www.flipkart.com/chilli-beans-rectangular-sunglasses/p/itm965957676d946?pid=SGLHEX6ECMAMHGBJ&amp;lid=LSTSGLHEX6ECMAMHGBJUSEPJH&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_34&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHEX6ECMAMHGBJ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Chilli Beans,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,7250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/medium-occl45510131-chilli-beans-original-imahex6ev4ksnut3.jpg?v=1758269448,1,"",false,,,,kg,,,active
uv-protection-round-sunglasses-53,UV Protection Round Sunglasses (53),"UV Protection Round Sunglasses (53)<br><a href=""https://www.flipkart.com/john-jacobs-round-sunglasses/p/itm3e641dd5100ae?pid=SGLFXCEYTQQZ3YNA&amp;lid=LSTSGLFXCEYTQQZ3YNAJOYCLO&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_33&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLFXCEYTQQZ3YNA.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3400.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahejzwrfgetcjj.jpg?v=1758269448,1,"",false,,,,kg,,,active
gradient-retro-square-sunglasses-51,Gradient Retro Square Sunglasses (51),"Gradient Retro Square Sunglasses (51)<br><a href=""https://www.flipkart.com/new-balance-retro-square-sunglasses/p/itm5931321243130?pid=SGLHBZRHSSETWFWF&amp;lid=LSTSGLHBZRHSSETWFWF4LVLEQ&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_31&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2ONEP9FBGWuukEpPlzRPoqoEChzGXHuGnNmC_9GXUWGu52-SIbIDZ6lLvgRS75Tj4w%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",New Balance,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3149.00,13175.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2gczv9s8ku.jpg?v=1758269446,1,"",false,,,,kg,,,active
polarized-uv-protection-rectangular-sunglasses-52,"Polarized, UV Protection Rectangular Sunglasses (52)","Polarized, UV Protection Rectangular Sunglasses (52)<br><a href=""https://www.flipkart.com/john-jacobs-rectangular-sunglasses/p/itm9209fce153047?pid=SGLHY3Y2R2SHYZDH&amp;lid=LSTSGLHY3Y2R2SHYZDHENM4V1&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_29&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHY3Y2R2SHYZDH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,4000.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfksfgveuj2hc.jpg?v=1758269445,1,"",false,,,,kg,,,active
uv-protection-wayfarer-sunglasses-52,UV Protection Wayfarer Sunglasses (52),"UV Protection Wayfarer Sunglasses (52)<br><a href=""https://www.flipkart.com/john-jacobs-wayfarer-sunglasses/p/itm9e9ebf513ea61?pid=SGLFXCU8QRHKVMZ8&amp;lid=LSTSGLFXCU8QRHKVMZ88NSDJ3&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_28&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2PQk5OYnbku4jrfAFNiaRhorewdogbup_hXgCwp3JADAlhWlg14bXFG9tZ2S67Bqg0%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2000.00,4500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfksefvgqgmkf.jpg?v=1758269444,1,"",false,,,,kg,,,active
uv-protection-rectangular-sunglasses-64,UV Protection Rectangular Sunglasses (64),"UV Protection Rectangular Sunglasses (64)<br><a href=""https://www.flipkart.com/chilli-beans-rectangular-sunglasses/p/itm8b0f08c5a9e42?pid=SGLHEX6FHQ99HCRA&amp;lid=LSTSGLHEX6FHQ99HCRA8ZBBYS&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_26&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHEX6FHQ99HCRA.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Chilli Beans,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,11000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/large-ocal02680101-chilli-beans-original-imahex6f7gxg7cgh.jpg?v=1758269443,1,"",false,,,,kg,,,active
